Isolate_Id	PB2 Segment_Id	PB1 Segment_Id	PA Segment_Id	HA Segment_Id	Location	Collection_Date	Host_Age	Host_Age_Unit
EPI_ISL_255578	EPI957263 | A/Singapore/KK0016/2017.1	EPI957264 | A/Singapore/KK0016/2017.2	EPI957262 | A/Singapore/KK0016/2017.3	EPI957266 | A/Singapore/KK0016/2017.4	Asia / Singapore	2017-01-09	15	Y
EPI_ISL_255572	EPI957213 | A/Singapore/TT0052/2017.1	EPI957214 | A/Singapore/TT0052/2017.2	EPI957212 | A/Singapore/TT0052/2017.3	EPI957216 | A/Singapore/TT0052/2017.4	Asia / Singapore	2017-01-11		Y
EPI_ISL_255410				EPI956189 | A/Austria/965875/2017	Europe / Austria / Bundesland Steiermark	2017-01-19	2	Y
EPI_ISL_255391				EPI956112 | A/Austria/962762/2017	Europe / Austria / Bundesland Wien	2017-01-07	22	Y
EPI_ISL_255366				EPI955993 | A/Taiwan/87923/2017	Asia / Taiwan	2017-01-17		Y
EPI_ISL_255178				EPI954546 | A/Austria/964920/2017	Europe / Austria / Lower Austria	2017-01-13	56	Y
EPI_ISL_255177				EPI954544 | A/Austria/964919/2017	Europe / Austria / Lower Austria	2017-01-17		Y
EPI_ISL_255173				EPI954530 | A/Austria/964607/2017	Europe / Austria / Bundesland Wien	2017-01-16	64	Y
EPI_ISL_255172				EPI954514 | A/Austria/964596	Europe / Austria / Bundesland Steiermark	2017-01-14	5	Y
EPI_ISL_255171				EPI954512 | A/Austria/964581/2017	Europe / Austria / Bundesland Tirol	2017-01-13	77	Y
EPI_ISL_255098				EPI953920 | A/Ontario/024/2017	North America / Canada / Ontario	2017-01-09		
EPI_ISL_255091				EPI953913 | A/Ontario/013/2017	North America / Canada / Ontario	2017-01-09		
EPI_ISL_255090				EPI953912 | A/Ontario/012/2017	North America / Canada / Ontario	2017-01-06		
EPI_ISL_255083				EPI953905 | A/Ontario/022/2017	North America / Canada / Ontario	2017-01-11		
